# @table MoveCategory
MoveCategoryID,Name,originID,Description
0,DAMAGE,1,"damage"
1,STATUS_CONDITION,1,"ailment"
2,STAT_CHANGE,1,"net-good-stats"
3,HEAL,1,"heal"
4,DAMAGE_STATUS,1,"damage-ailment"
5,STAT_STATUS,1,"swagger (status effect and target stat change)"
6,DAMAGE_STATLOWER,1,"damage-lower (damages and lowers target stats)"
7,DAMAGE_STATRAISE,1,"damage-raise (damages target and raises user stats)"
8,DAMAGE_HEAL,1,"damage-heal (damages target and heals user stats)"
9,OH_KO,1,"ohko (one hit KO)"
10,FIELD_EFFECT,1,"whole-field-effect (weather setters, etc.)"
11,TEAM_EFFECT,1,"field-effect (field effect for one side of the field)"
12,FORCE_SWITCH,1,"force-switch (forces target to switch or flee)"
13,MULTIHIT,1,"multi-hit move"
48,MOVE_SPECIFIC,4,"move specific effects (depends on what encoding developer wants)"
