# @table TypeEffectiveness
TypeATK,TypeDEF,Multiplier,OriginID
1,6,2,3
1,8,0,3
1,9,2,3
2,1,8,3
2,3,2,3
2,4,2,3
2,6,8,3
2,7,2,3
2,8,0,3
2,9,8,3
2,14,2,3
2,15,8,3
2,17,8,3
2,18,2,3
3,2,8,3
3,6,2,3
3,7,8,3
3,9,2,3
3,12,8,3
3,13,2,3
4,4,2,3
4,5,2,3
4,6,2,3
4,8,2,3
4,9,0,3
4,12,8,3
4,18,8,3
5,3,0,3
5,4,8,3
5,6,8,3
5,7,2,3
5,9,8,3
5,10,8,3
5,12,2,3
5,13,8,3
6,2,2,3
6,3,8,3
6,5,2,3
6,7,8,3
6,9,2,3
6,10,8,3
6,15,8,3
7,2,2,3
7,3,2,3
7,4,2,3
7,8,2,3
7,9,2,3
7,10,2,3
7,12,8,3
7,14,8,3
7,17,8,3
7,18,2,3
8,1,0,3
8,8,8,3
8,14,8,3
8,17,2,3
9,6,8,3
9,9,2,3
9,10,2,3
9,11,2,3
9,13,2,3
9,15,8,3
9,18,8,3
10,6,2,3
10,7,8,3
10,9,8,3
10,10,2,3
10,11,2,3
10,12,8,3
10,15,8,3
10,16,2,3
11,5,8,3
11,6,8,3
11,10,8,3
11,11,2,3
11,12,2,3
11,16,2,3
12,3,2,3
12,4,2,3
12,5,8,3
12,6,8,3
12,7,2,3
12,9,2,3
12,10,2,3
12,11,8,3
12,12,2,3
12,16,2,3
13,3,8,3
13,5,0,3
13,11,8,3
13,12,2,3
13,13,2,3
13,16,2,3
14,2,8,3
14,4,8,3
14,9,2,3
14,14,2,3
14,17,0,3
15,3,8,3
15,5,8,3
15,9,2,3
15,10,2,3
15,11,2,3
15,12,8,3
15,15,2,3
15,16,8,3
16,9,2,3
16,16,8,3
16,18,0,3
17,2,2,3
17,8,8,3
17,14,8,3
17,17,2,3
17,18,2,3
18,2,8,3
18,4,2,3
18,9,2,3
18,10,2,3
18,16,8,3
18,17,8,3
