MoveFlagID,Name,originID,Description
0,AllyAnim,2,"The move plays its animation when used on an ally."
1,BypassSub,2,"Ignores a target's substitute."
2,Bite,2,"Power is multiplied by 1.5 when used by a Pokemon with the Ability Strong Jaw."
3,Bullet,2,"Has no effect on Pokemon with the Ability Bulletproof."
4,CantUseTwice,2,"The user cannot select this move after a previous successful use."
5,Charge,2,"The user is unable to make a move between turns."
6,Contact,2,"Makes contact."
7,Dance,2,"When used by a Pokemon, other Pokemon with the Ability Dancer can attempt to execute the same move."
8,Defrost,2,"Thaws the user if executed successfully while the user is frozen."
9,Distance,2,"Can target a Pokemon positioned anywhere in a Triple Battle."
10,FailCopycat,2,"Cannot be selected by Copycat."
11,FailEncore,2,"Encore fails if the target used this move."
12,FailInstruct,2,"Cannot be repeated by Instruct."
13,FailMeFirst,2,"Cannot be selected by Me First."
14,FailMimic,2,"Cannot be copied by Mimic."
15,FutureMove,2,"Targets a slot, and in 2 turns damages that slot."
16,Gravity,2,"Prevented from being executed or selected during Gravity's effect."
17,Heal,2,"Prevented from being executed or selected during Heal Block's effect."
18,Metronome,2,"Can be selected by Metronome."
19,Minimize,2,"Deals double damage if the user is minimized."
20,Mirror,2,"Can be copied by Mirror Move."
21,MustPressure,2,"Additional PP is deducted due to Pressure when it ordinarily would not."
22,NoAssist,2,"Cannot be selected by Assist."
23,NonSky,2,"Prevented from being executed or selected in a Sky Battle."
24,NoParentalBond,2,"Cannot be made to hit twice via Parental Bond."
25,NoSketch,2,"Cannot be copied by Sketch."
26,NoSleepTalk,2,"Cannot be selected by Sleep Talk."
27,PledgeCombo,2,"Gems will not activate. Cannot be redirected by Storm Drain / Lightning Rod."
28,Powder,2,"Has no effect on Pokemon which are Grass-type, have the Ability Overcoat, or hold Safety Goggles."
29,Protect,2,"Blocked by Detect, Protect, Spiky Shield, and if not a Status move, King's Shield."
30,Pulse,2,"Power is multiplied by 1.5 when used by a Pokemon with the Ability Mega Launcher."
31,Punch,2,"Power is multiplied by 1.2 when used by a Pokemon with the Ability Iron Fist."
32,Recharge,2,"If this move is successful, the user must recharge on the following turn and cannot make a move."
33,Reflectable,2,"Bounced back to the original user by Magic Coat or the Ability Magic Bounce."
34,Slicing,2,"Power is multiplied by 1.5 when used by a Pokemon with the Ability Sharpness."
35,Snatch,2,"Can be stolen from the original user and instead used by another Pokemon using Snatch."
36,Sound,2,"Has no effect on Pokemon with the Ability Soundproof."
37,Wind,2,"Activates the Wind Power and Wind Rider Abilities."
255,FieldMove,3,"Can be used outside of battle."
